"entity_id","entity_type","date","text"
"alpha_solutions","Customer","2026-06-01","Kickoff call with Priya Sharma. They are evaluating our ERP platform and seem very interested in the inventory module."
"alpha_solutions","Customer","2026-06-08","Priya shared their requirements. They need GST invoicing, purchase order tracking, and vendor management."
"alpha_solutions","Customer","2026-06-15","Product demo went well. Priya said the dashboard and reporting features exceeded their expectations."
"alpha_solutions","Customer","2026-06-22","Sent the proposal. They promised to review and revert with a decision by June 30."
"alpha_solutions","Customer","2026-06-29","Priya confirmed they are going ahead. They promised to send the signed contract by July 5."
"alpha_solutions","Customer","2026-07-03","Received signed contract! They promised to arrange the initial payment of INR 2,50,000 by July 10."
"beta_industries","Customer","2026-05-10","Initial meeting with Vikram Mehta. They are unhappy with their current vendor and want to switch."
"beta_industries","Customer","2026-05-18","Vikram shared a list of 15 pain points with their current system. Very detailed requirements."
"beta_industries","Customer","2026-05-25","Product demo to their entire procurement team. Feedback was mostly positive but they had concerns about migration complexity."
"beta_industries","Customer","2026-06-02","Follow-up call. Vikram said they need a detailed migration plan before they can commit."
"beta_industries","Customer","2026-06-10","Shared migration roadmap. They promised to evaluate internally and respond by June 20."
"beta_industries","Customer","2026-06-22","Vikram called. They have decided to go with a competitor. Relationship ended."
"gamma_retail","Customer","2026-04-15","Onboarding completed. They promised to run parallel testing for 2 weeks before full cutover."
"gamma_retail","Customer","2026-04-22","Testing is going well. Minor UI issues reported but nothing blocking."
"gamma_retail","Customer","2026-04-30","Full cutover done! System is live. They are very happy with the smooth transition."
"gamma_retail","Customer","2026-05-10","First monthly review. Everything running well. They mentioned they are considering adding the analytics add-on."
"gamma_retail","Customer","2026-05-20","Upgrade discussion call. They want the analytics module. Promised to send the PO by May 30."
"gamma_retail","Customer","2026-06-01","Received PO for analytics add-on worth INR 1,80,000. Implementation scheduled."
"gamma_retail","Customer","2026-06-15","Analytics module deployed. They are thrilled with the new dashboards. Very positive feedback overall."
"delta_enterprises","Customer","2026-06-05","Cold inbound inquiry from their COO. They heard about us through a LinkedIn post and want a demo."
"delta_enterprises","Customer","2026-06-12","Discovery call. They have 300+ suppliers and need automated PO matching and discrepancy detection."
"delta_enterprises","Customer","2026-06-19","Scheduled a workshop for requirements gathering. They promised to send their integration specs by June 30."
"delta_enterprises","Customer","2026-06-26","Received integration specs. They use SAP for finance and a custom system for procurement."
